Title,ID,Published,Updated,Summary,Author,Comments,Journal_Ref,Link,Primary_Category,Categories,DOI,License,Affiliation
Is 3-(F)WL Enough to Distinguish All 3D Graphs?,http://arxiv.org/abs/2402.08429v1,2024-01-24T06:22:08Z,2024-01-24T06:22:08Z,"  The problem of graph isomorphism is an important but challenging problem in
the field of graph analysis, for example: analyzing the similarity of two
chemical molecules, or studying the expressive ability of graph neural
networks. WL test is a method to judge whether two graphs are isomorphic, but
it cannot distinguish all non-isomorphic graphs. As an improvement of WL, k-WL
has stronger isomorphism discrimination ability, and as k increases, its
discrimination ability is strictly increasing. However, whether the isomorphic
discrimination power of k-WL is strictly increasing for more complex 3D graphs,
or whether there exists k that can discriminate all 3D graphs, remains
unexplored. This paper attempts to explore this problem from the perspective of
graph generation.
",['\nWanghan Xu\n'],,,http://arxiv.org/abs/2402.08429v1,cs.OH,"['cs.OH', 'cs.AI']",,,[]
Foundations of Work-Systems Modeling,http://arxiv.org/abs/2401.16221v1,2024-01-13T22:02:53Z,2024-01-13T22:02:53Z,"  In 2006, the course ""Modeling of Organizations"" is taught for the third time.
This third time will be the second time we will use the new lecture notes ""Work
Systems Modelling"" from the DA VINCI series. These lecture notes, however, will
be evolved further hand-in-hand with the actual process of lecturing. In the
academic year 2005/2006, a second incarnation of these lecture notes will be
created, where the aim is to deliver these lecture notes in three increments.
An important step that will be taken in this academic year is the integration
of the ICIS Work Systems Modelling lecture notes with the NICI course on
Organisational Dynamics. The first results of this integration will start to
appear in the second and third trimester.
",['\nHenderik Alex Proper\n'],,,http://arxiv.org/abs/2401.16221v1,cs.OH,"['cs.OH', 'cs.SE']",,,[]
Challenge design roadmap,http://arxiv.org/abs/2401.13693v1,2024-01-15T10:58:30Z,2024-01-15T10:58:30Z,"  Challenges can be seen as a type of game that motivates participants to solve
serious tasks. As a result, competition organizers must develop effective game
rules. However, these rules have multiple objectives beyond making the game
enjoyable for participants. These objectives may include solving real-world
problems, advancing scientific or technical areas, making scientific
discoveries, and educating the public. In many ways, creating a challenge is
similar to launching a product. It requires the same level of excitement and
rigorous testing, and the goal is to attract ''customers'' in the form of
participants. The process begins with a solid plan, such as a competition
proposal that will eventually be submitted to an international conference and
subjected to peer review. Although peer review does not guarantee quality, it
does force organizers to consider the impact of their challenge, identify
potential oversights, and generally improve its quality. This chapter provides
guidelines for creating a strong plan for a challenge. The material draws on
the preparation guidelines from organizations such as Kaggle 1 , ChaLearn 2 and
Tailor 3 , as well as the NeurIPS proposal template, which some of the authors
contributed to.
","['\nHugo Jair Escalante Balderas\nLISN, TAU\n', '\nIsabelle Guyon\nLISN, TAU\n', '\nAddison Howard\nTAU\n', '\nWalter Reade\nTAU\n', '\nSebastien Treguer\nTAU\n']",,"AI Competitions and Benchmarks: The Science Behind the Contests,
  In press",http://arxiv.org/abs/2401.13693v1,cs.OH,"['cs.OH', 'cs.AI', 'cs.HC']",,,"['LISN, TAU', 'LISN, TAU', 'TAU', 'TAU', 'TAU']"
"Using Terrestrial Laser Scanning, Unmanned Aerial Vehicles and Mixed
  Reality Methodologies for Digital Survey, 3D Modelling and Historical
  Recreation of Religious Heritage Monuments",http://arxiv.org/abs/2401.01380v1,2023-12-31T16:24:22Z,2023-12-31T16:24:22Z,"  Preserving and safeguarding the Cultural Heritage (CH) of our world from
unforeseen hazards should be viewed as a collective responsibility for
humanity. Consequently, there is a growing imperative for targeted measures
aimed at conserving, rejuvenating, and safeguarding historical assets that
carry cultural significance. In recent times, Terrestrial Laser Scanning (TLS),
Unmanned Aerial Vehicle (UAV) Photogrammetry, and applications in Mixed Reality
(MR) have assumed a pivotal role in the mapping, recording, preservation, and
promotion of Cultural Heritage. This ar-ticle endeavors to present a
comprehensive approach spanning from 3D surveying to the 3D representation and
promotion of Religious Cultural Heritage, offering an overview of the applied
methodologies. Through the integration of TLS and UAV photogrammetry
techniques, a comprehensive digital record of Panagia Ekatontapyliani, the
adjoining Church of Agios Nikolaos, and the Baptistery, along with their wall
paintings (hagiographies) and natural surroundings, has been obtained. This
record serves as the foundation for historical documentation and recreation
using the HBIM concept, paving the way for the development of diverse Mixed
Reality applications. These applications aim to enhance the visibility,
accessibility, and visitability of the Monument.
","['\nAristeidis Zachos\n', '\nChristos-Nikolaos Anagnostopoulos\n']",,,http://arxiv.org/abs/2401.01380v1,cs.OH,['cs.OH'],,,[]
"Portable medical devices creation technology by using the Bluetooth
  module",http://arxiv.org/abs/2402.03323v1,2024-01-07T15:37:56Z,2024-01-07T15:37:56Z,"  The article is devoted Bluetooth wireless personal area networks
specification, which provides standard for exchanging data over short
distances. It is shown how the technology has evolved and its application in
the design of devices. Health Device Profile considered in details, which the
main feature is the work of a medical orientation devices.
","['\nA. O. Dadukin\n', '\nN. I. Pchelintseva\n']","7 pages, Russian language, Published in ""Digital journal: science,
  machinery, and education"" Reference: https://nto-journal.ru/authors/354/",,http://arxiv.org/abs/2402.03323v1,cs.OH,['cs.OH'],,,[]
"On the relevance of the Godot Engine in the indie game development
  industry",http://arxiv.org/abs/2401.01909v2,2023-12-27T12:14:21Z,2024-01-10T17:00:28Z,"  This paper examines the relevance of the Godot Engine in the indie game
industry. The Godot Engine is a relatively new game engine from 2014 and
competes with leading market players. To get to the bottom of its relevance,
two major online sales platforms and the game engines that are commonly used,
Steam and itch[dot]io, are examined. Mainly, these findings are compared with
reference data from 2018. It turns out that the Godot engine has gained massive
relevance in 2020 and now seems to be one of the leading players in the indie
game industry. The exact causes are difficult to determine. However, this paper
provides many clues for further research in this area.
",['\nJulian Holfeld\n'],"9 pages, 2 figures, 3 tables v2.0.1 changes: * replaced UE AAA source
  * better visibility for graphs",,http://arxiv.org/abs/2401.01909v2,cs.OH,['cs.OH'],,,[]
"DanceMeld: Unraveling Dance Phrases with Hierarchical Latent Codes for
  Music-to-Dance Synthesis",http://arxiv.org/abs/2401.10242v1,2023-11-30T12:36:21Z,2023-11-30T12:36:21Z,"  In the realm of 3D digital human applications, music-to-dance presents a
challenging task. Given the one-to-many relationship between music and dance,
previous methods have been limited in their approach, relying solely on
matching and generating corresponding dance movements based on music rhythm. In
the professional field of choreography, a dance phrase consists of several
dance poses and dance movements. Dance poses composed of a series of basic
meaningful body postures, while dance movements can reflect dynamic changes
such as the rhythm, melody, and style of dance. Taking inspiration from these
concepts, we introduce an innovative dance generation pipeline called
DanceMeld, which comprising two stages, i.e., the dance decouple stage and the
dance generation stage. In the decouple stage, a hierarchical VQ-VAE is used to
disentangle dance poses and dance movements in different feature space levels,
where the bottom code represents dance poses, and the top code represents dance
movements. In the generation stage, we utilize a diffusion model as a prior to
model the distribution and generate latent codes conditioned on music features.
We have experimentally demonstrated the representational capabilities of top
code and bottom code, enabling the explicit decoupling expression of dance
poses and dance movements. This disentanglement not only provides control over
motion details, styles, and rhythm but also facilitates applications such as
dance style transfer and dance unit editing. Our approach has undergone
qualitative and quantitative experiments on the AIST++ dataset, demonstrating
its superiority over other methods.
","['\nXin Gao\n', '\nLi Hu\n', '\nPeng Zhang\n', '\nBang Zhang\n', '\nLiefeng Bo\n']","10 pages, 8 figures",,http://arxiv.org/abs/2401.10242v1,cs.OH,"['cs.OH', 'cs.GR', 'cs.HC', 'cs.SD', 'eess.AS']",,,[]
Rock Climbing Route Generation and Grading as Computational Creativity,http://arxiv.org/abs/2311.02211v1,2023-11-03T19:50:31Z,2023-11-03T19:50:31Z,"  In this paper, we bridge work in rock climbing route generation and grading
into the computational creativity community. We provide the necessary
background to situate that literature and demonstrate the domain's intellectual
merit in the computational creativity community. We provide a guiding set of
desiderata for future work in this area. We propose an approach to
computational route grading. Finally, we identify important gaps in the
literature and consider how they may be filled. This paper thus also serves as
a pilot study, planting a flag for our ongoing research in this domain.
",['\nJesse Roberts\n'],,,http://arxiv.org/abs/2311.02211v1,cs.OH,"['cs.OH', 'cs.AI']",,,[]
"""Just a little bit on the outside for the whole time"": Social belonging
  confidence and the persistence of Machine Learning and Artificial
  Intelligence students",http://arxiv.org/abs/2311.10745v1,2023-10-30T19:59:38Z,2023-10-30T19:59:38Z,"  The growing field of machine learning (ML) and artificial intelligence (AI)
presents a unique and unexplored case within persistence research, meaning it
is unclear how past findings from engineering will apply to this developing
field. We conduct an exploratory study to gain an initial understanding of
persistence in this field and identify fruitful directions for future work. One
factor that has been shown to predict persistence in engineering is belonging;
we study belonging through the lens of confidence, and discuss how attention to
social belonging confidence may help to increase diversity in the profession.
In this research paper, we conduct a small set of interviews with students in
ML/AI courses. Thematic analysis of these interviews revealed initial
differences in how students see a career in ML/AI, which diverge based on
interest and programming confidence. We identified how exposure and initiation,
the interpretation of ML and AI field boundaries, and beliefs of the skills
required to succeed might influence students' intentions to persist. We discuss
differences in how students describe being motivated by social belonging and
the importance of close mentorship. We motivate further persistence research in
ML/AI with particular focus on social belonging and close mentorship, the role
of intersectional identity, and introductory ML/AI courses.
","['\nKatherine Mao\n', '\nSharon Ferguson\n', '\nJames Magarian\n', '\nAlison Olechowski\n']","Published in the 2023 Annual Conference of the American Society for
  Engineering Education","2023 ASEE Annual Conference & Exposition, Baltimore , Maryland",http://arxiv.org/abs/2311.10745v1,cs.CY,"['cs.CY', 'cs.OH']",,,[]
"CTMaaS: An innovative platform for C-ITS-enabled dynamic Traffic and
  Fleet Management as a Service",http://arxiv.org/abs/2310.14052v1,2023-10-21T16:14:09Z,2023-10-21T16:14:09Z,"  Fleet management systems have been one of the most important research fields
in transportation science. Nowadays the enhancement of fleet management systems
with technologies such as the Cooperative Intelligent Transport System (CITS)
that allows fleets to communicate with their environment, with other vehicles
or with the road infrastructure, resulting in safer and more efficient road
travel. This paper aims to present the CTMaaS platform, a tool which integrates
CITS services and traffic management processes to manage vehicle fleets.
Starting with a literature review, the paper presents various fleet management
systems, that have been developed in the last years, and the most typical CITS
services. The next chapters present the CTMaaS platform, use cases, and
methodology.
","['\nAreti Kotsi\n', '\nVasileia Klimi\n', '\nEvangelos Mitsakis\n']",11 pages,,http://arxiv.org/abs/2310.14052v1,cs.OH,['cs.OH'],,,[]
"All you need is data: the added value of National Access Points as
  backbone European ITS data exchange infrastructures",http://arxiv.org/abs/2310.14054v1,2023-10-21T16:18:00Z,2023-10-21T16:18:00Z,"  Intelligent Transport Systems are crucial in the digital transformation of
transportation. The EC mandates the establishment of National Access Points
(NAPs) in each Member State, serving as common national interfaces for ITS data
exchange. While progress has been made in standardizing NAP data, integration
with operational ITS practices remain limited. This paper presents five NAP use
cases from the NAPCORE (National Access Point Coordination Organization for
Europe) CEF funded project. The first one outlines a National Virtual Traffic
Management Center offering real time visualized KPIs supporting motorway
traffic operations. The second focuses on NAP enabled Cooperative ITS and
dynamic traffic management services. Next use case involves a Pan European
interface, providing visualizations of data availability. The fourth use case
enhances the digitization of traffic management plans, among different TMC.
Finally, the fifth use case demonstrates a technical interface combining NAP
traffic data with meteorological information for KPIs on extreme weather
impacts on traffic.
","['\nChrysostomos Mylonas\n', '\nMaria Stavara\n', '\nEvangelos Mitsakis\n']",6 pages,,http://arxiv.org/abs/2310.14054v1,cs.OH,['cs.OH'],,,[]
