Title,ID,Published,Updated,Summary,Author,Comments,Journal_Ref,Link,Primary_Category,Categories,DOI,License,Affiliation
Creative Telescoping for Hypergeometric Double Sums,http://arxiv.org/abs/2401.16314v1,2024-01-29T17:18:47Z,2024-01-29T17:18:47Z,"  We present efficient methods for calculating linear recurrences of
hypergeometric double sums and, more generally, of multiple sums. In
particular, we supplement this approach with the algorithmic theory of
contiguous relations, which guarantees the applicability of our method for many
input sums. In addition, we elaborate new techniques to optimize the underlying
key task of our method to compute rational solutions of parameterized linear
recurrences.
","['\nPeter Paule\n', '\nCarsten Schneider\n']",,,http://arxiv.org/abs/2401.16314v1,cs.SC,['cs.SC'],,,[]
3D Space Trajectories and beyond: Abstract Art Creation with 3D Printing,http://arxiv.org/abs/2401.11909v1,2024-01-22T12:52:38Z,2024-01-22T12:52:38Z,"  We present simple models of trajectories in space, both in 2D and in 3D. The
first examples, which model bicircular moves in the same direction, are
classical curves (epicycloids, etc.). Then, we explore bicircular moves in
reverse direction and tricircular moves in 2D and 3D, to explore complex
visualisations of extraplanetary movements. These moves are studied in a plane
setting. Then, adding increasing complexity, we explore them in a non planar
setting (which is a closer model of the real situation). The exploration is
followed by using these approaches for creating mathematical art in 2D and 3D
printed objects, providing new ways of mathematical representations. Students'
activities are organized around this exploration.
","['\nThierry Dana-Picard\nJerusalem College of Technology\n', '\nMatias Tejera\nJohannes Kepler University Linz, Austria\n', '\nEva Ulbrich\nJohannes Kepler University Linz, Austria\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 142-152",http://dx.doi.org/10.4204/EPTCS.398.17,cs.CG,"['cs.CG', 'cs.SC']",10.4204/EPTCS.398.17,,"['Jerusalem College of Technology', 'Johannes Kepler University Linz, Austria', 'Johannes Kepler University Linz, Austria']"
Computation of classical and $v$-adic $L$-series of $t$-motives,http://arxiv.org/abs/2401.12618v1,2024-01-23T10:16:47Z,2024-01-23T10:16:47Z,"  We design an algorithm for computing the $L$-series associated to an Anderson
$t$-motives, exhibiting quasilinear complexity with respect to the target
precision. Based on experiments, we conjecture that the order of vanishing at
$T=1$ of the $v$-adic $L$-series of a given Anderson $t$-motive with good
reduction does not depend on the finite place $v$.
","['\nXavier Caruso\nIMB, CANARI\n', '\nQuentin Gazda\nCMLS\n']",,,http://arxiv.org/abs/2401.12618v1,cs.SC,"['cs.SC', 'math.NT']",,,"['IMB, CANARI', 'CMLS']"
"Local Hamiltonian decomposition and classical simulation of parametrized
  quantum circuits",http://arxiv.org/abs/2401.13156v2,2024-01-24T00:30:31Z,2024-01-31T18:20:04Z,"  In this paper we develop a classical algorithm of complexity $O(K \, 2^n)$ to
simulate parametrized quantum circuits (PQCs) of $n$ qubits, where $K$ is the
total number of one-qubit and two-qubit control gates. The algorithm is
developed by finding $2$-sparse unitary matrices of order $2^n$ explicitly
corresponding to any single-qubit and two-qubit control gates in an $n$-qubit
system. Finally, we determine analytical expression of Hamiltonians for any
such gate and consequently a local Hamiltonian decomposition of any PQC is
obtained. All results are validated with numerical simulations.
","['\nBibhas Adhikari\n', '\nAryan Jha\n']",,,http://arxiv.org/abs/2401.13156v2,quant-ph,"['quant-ph', 'cs.SC']",,,[]
"Lessons on Datasets and Paradigms in Machine Learning for Symbolic
  Computation: A Case Study on CAD",http://arxiv.org/abs/2401.13343v1,2024-01-24T10:12:43Z,2024-01-24T10:12:43Z,"  Symbolic Computation algorithms and their implementation in computer algebra
systems often contain choices which do not affect the correctness of the output
but can significantly impact the resources required: such choices can benefit
from having them made separately for each problem via a machine learning model.
This study reports lessons on such use of machine learning in symbolic
computation, in particular on the importance of analysing datasets prior to
machine learning and on the different machine learning paradigms that may be
utilised. We present results for a particular case study, the selection of
variable ordering for cylindrical algebraic decomposition, but expect that the
lessons learned are applicable to other decisions in symbolic computation.
  We utilise an existing dataset of examples derived from applications which
was found to be imbalanced with respect to the variable ordering decision. We
introduce an augmentation technique for polynomial systems problems that allows
us to balance and further augment the dataset, improving the machine learning
results by 28\% and 38\% on average, respectively. We then demonstrate how the
existing machine learning methodology used for the problem $-$ classification
$-$ might be recast into the regression paradigm. While this does not have a
radical change on the performance, it does widen the scope in which the
methodology can be applied to make choices.
","['\nTereso del Río\n', '\nMatthew England\n']",,,http://arxiv.org/abs/2401.13343v1,cs.SC,"['cs.SC', 'cs.LG', '68W30, 68T05, 03C10', 'I.2.6; I.1.0']",,,[]
Symbolic Equation Solving via Reinforcement Learning,http://arxiv.org/abs/2401.13447v1,2024-01-24T13:42:24Z,2024-01-24T13:42:24Z,"  Machine-learning methods are gradually being adopted in a great variety of
social, economic, and scientific contexts, yet they are notorious for
struggling with exact mathematics. A typical example is computer algebra, which
includes tasks like simplifying mathematical terms, calculating formal
derivatives, or finding exact solutions of algebraic equations. Traditional
software packages for these purposes are commonly based on a huge database of
rules for how a specific operation (e.g., differentiation) transforms a certain
term (e.g., sine function) into another one (e.g., cosine function). Thus far,
these rules have usually needed to be discovered and subsequently programmed by
humans. Focusing on the paradigmatic example of solving linear equations in
symbolic form, we demonstrate how the process of finding elementary
transformation rules and step-by-step solutions can be automated using
reinforcement learning with deep neural networks.
","['\nLennart Dabelow\n', '\nMasahito Ueda\n']","12 pages, 4 figures + appendices 17 pages, 1 figure, 16 tables",,http://arxiv.org/abs/2401.13447v1,cs.LG,"['cs.LG', 'cs.SC']",,,[]
Towards Automatic Transformations of Coq Proof Scripts,http://arxiv.org/abs/2401.11897v1,2024-01-22T12:48:34Z,2024-01-22T12:48:34Z,"  Proof assistants like Coq are increasingly popular to help mathematicians
carry out proofs of the results they conjecture. However, formal proofs remain
highly technical and are especially difficult to reuse. In this paper, we
present a framework to carry out a posteriori script transformations. These
transformations are meant to be applied as an automated post-processing step,
once the proof has been completed. As an example, we present a transformation
which takes an arbitrary large proof script and produces an equivalent
single-line proof script, which can be executed by Coq in one single step.
Other applications, such as fully expanding a proof script (for debugging
purposes), removing all named hypotheses, etc. could be developed within this
framework. We apply our tool to various Coq proof scripts, including some from
the GeoCoq library.
","['\nNicolas Magaud\nLab. ICube CNRS Université de Strasbourg, France\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 4-10",http://dx.doi.org/10.4204/EPTCS.398.4,cs.LO,"['cs.LO', 'cs.SC', 'cs.SE']",10.4204/EPTCS.398.4,,"['Lab. ICube CNRS Université de Strasbourg, France']"
"Showing Proofs, Assessing Difficulty with GeoGebra Discovery",http://arxiv.org/abs/2401.11900v1,2024-01-22T12:50:12Z,2024-01-22T12:50:12Z,"  In our contribution we describe some on-going improvements concerning the
Automated Reasoning Tools developed in GeoGebra Discovery, providing different
examples of the performance of these new features. We describe the new
ShowProof command, that outputs both the sequence of the different steps
performed by GeoGebra Discovery to confirm a certain statement, as well as a
number intending to grade the difficulty or interest of the assertion. The
proposal of this assessment measure, involving the comparison of the expression
of the thesis (or conclusion) as a combination of the hypotheses, will be
developed.
","['\nZoltán Kovács\nThe Private University College of Education of the Diocese of Linz, Austria\n', '\nTomás Recio\nEscuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain\n', '\nM. Pilar Vélez\nEscuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 43-52",http://dx.doi.org/10.4204/EPTCS.398.8,cs.SC,"['cs.SC', 'cs.AI', 'cs.CG']",10.4204/EPTCS.398.8,,"['The Private University College of Education of the Diocese of Linz, Austria', 'Escuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain', 'Escuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain']"
"Solving with GeoGebra Discovery an Austrian Mathematics Olympiad
  problem: Lessons Learned",http://arxiv.org/abs/2401.11906v1,2024-01-22T12:51:35Z,2024-01-22T12:51:35Z,"  We address, through the automated reasoning tools in GeoGebra Discovery, a
problem from a regional phase of the Austrian Mathematics Olympiad 2023. Trying
to solve this problem gives rise to four different kind of feedback: the almost
instantaneous, automated solution of the proposed problem; the measure of its
complexity, according to some recent proposals; the automated discovery of a
generalization of the given assertion, showing that the same statement is true
over more general polygons than those mentioned in the problem; and the
difficulties associated to the analysis of the surprising and involved high
number of degenerate cases that appear when using the LocusEquation command in
this problem. In our communication we will describe and reflect on these
diverse issues, enhancing its exemplar role for showing some of the advantages,
problems, and current fields of development of GeoGebra Discovery.
","['\nBelén Ariño-Morera\nDepartamento de Economía Financiera y Contabilidad, Universidad Rey Juan Carlos, Madrid, Spain\n', '\nZoltán Kovács\nThe Private University College of Education of the Diocese of Linz, Austria\n', '\nTomás Recio\nEscuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain\n', '\nPiedad Tolmos\nDepartamento de Economía Financiera y Contabilidad, Universidad Rey Juan Carlos, Madrid, Spain\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 101-109",http://dx.doi.org/10.4204/EPTCS.398.13,cs.SC,"['cs.SC', 'cs.AI', 'cs.CG']",10.4204/EPTCS.398.13,,"['Departamento de Economía Financiera y Contabilidad, Universidad Rey Juan Carlos, Madrid, Spain', 'The Private University College of Education of the Diocese of Linz, Austria', 'Escuela Politécnica Superior, Universidad Antonio de Nebrija, Madrid, Spain', 'Departamento de Economía Financiera y Contabilidad, Universidad Rey Juan Carlos, Madrid, Spain']"
"The Locus Story of a Rocking Camel in a Medical Center in the City of
  Freistadt",http://arxiv.org/abs/2401.11908v1,2024-01-22T12:52:22Z,2024-01-22T12:52:22Z,"  We give an example of automated geometry reasoning for an imaginary classroom
project by using the free software package GeoGebra Discovery. The project is
motivated by a publicly available toy, a rocking camel, installed at a medical
center in Upper Austria. We explain how the process of a false conjecture,
experimenting, modeling, a precise mathematical setup, and then a proof by
automated reasoning could help extend mathematical knowledge at secondary
school level and above.
","['\nAnna Käferböck\nThe Private University College of Education of the Diocese of Linz, Austria\n', '\nZoltán Kovács\nThe Private University College of Education of the Diocese of Linz, Austria\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 132-141",http://dx.doi.org/10.4204/EPTCS.398.16,cs.RO,"['cs.RO', 'cs.CG', 'cs.SC']",10.4204/EPTCS.398.16,,"['The Private University College of Education of the Diocese of Linz, Austria', 'The Private University College of Education of the Diocese of Linz, Austria']"
