Title,ID,Published,Updated,Summary,Author,Comments,Journal_Ref,Link,Primary_Category,Categories,DOI,License,Affiliation
"Scalable Automated Verification for Cyber-Physical Systems in
  Isabelle/HOL",http://arxiv.org/abs/2401.12061v1,2024-01-22T15:54:47Z,2024-01-22T15:54:47Z,"  We formally introduce IsaVODEs (Isabelle verification with Ordinary
Differential Equations), a framework for the verification of cyber-physical
systems. We describe the semantic foundations of the framework's formalisation
in the Isabelle/HOL proof assistant. A user-friendly language specification
based on a robust state model makes our framework flexible and adaptable to
various engineering workflows. New additions to the framework increase both its
expressivity and proof automation. Specifically, formalisations related to
forward diamond correctness specifications, certification of unique solutions
to ordinary differential equations (ODEs) as flows, and invariant reasoning for
systems of ODEs contribute to the framework's scalability and usability.
Various examples and an evaluation validate the effectiveness of our framework.
","['\nJonathan Julián Huerta y Munive\n', '\nSimon Foster\n', '\nMario Gleirscher\n', '\nGeorg Struth\n', '\nChristian Pardillo Laursen\n', '\nThomas Hickman\n']",Submitted to the Journal of Automated Reasoning,,http://arxiv.org/abs/2401.12061v1,cs.LO,"['cs.LO', 'cs.MS']",,,[]
"LongMemory.jl: Generating, Estimating, and Forecasting Long Memory
  Models in Julia",http://arxiv.org/abs/2401.14077v1,2024-01-25T10:55:38Z,2024-01-25T10:55:38Z,"  LongMemory.jl is a package for time series long memory modelling in Julia.
The package provides functions to generate long memory, estimate model
parameters, and forecast. Generating methods include fractional differencing,
stochastic error duration, and cross-sectional aggregation. Estimators include
the classic ones used to estimate the Hurst effect, those inspired by
log-periodogram regression, and parametric ones. Forecasting is provided for
all parametric estimators. Moreover, the package adds plotting capabilities to
illustrate long memory dynamics and forecasting. This article presents the
theoretical developments for long memory modelling, show examples using the
data included with the package, and compares the properties of LongMemory.jl
with current alternatives, including benchmarks. For some of the theoretical
developments, LongMemory.jl provides the first publicly available
implementation in any programming language. A notable feature of this package
is that all functions are implemented in the same programming language, taking
advantage of the ease of use and speed provided by Julia. Therefore, all code
is accessible to the user. Multiple dispatch, a novel feature of the language,
is used to speed computations and provide consistent calls to related methods.
The package is related to the R packages LongMemoryTS and fracdiff.
",['\nJ. Eduardo Vera-Valdés\n'],,,http://arxiv.org/abs/2401.14077v1,cs.MS,"['cs.MS', 'stat.CO']",,,[]
"Reproducibility, energy efficiency and performance of pseudorandom
  number generators in machine learning: a comparative study of python, numpy,
  tensorflow, and pytorch implementations",http://arxiv.org/abs/2401.17345v2,2024-01-30T15:44:14Z,2024-02-10T12:09:18Z,"  Pseudo-Random Number Generators (PRNGs) have become ubiquitous in machine
learning technologies because they are interesting for numerous methods. The
field of machine learning holds the potential for substantial advancements
across various domains, as exemplified by recent breakthroughs in Large
Language Models (LLMs). However, despite the growing interest, persistent
concerns include issues related to reproducibility and energy consumption.
Reproducibility is crucial for robust scientific inquiry and explainability,
while energy efficiency underscores the imperative to conserve finite global
resources. This study delves into the investigation of whether the leading
Pseudo-Random Number Generators (PRNGs) employed in machine learning languages,
libraries, and frameworks uphold statistical quality and numerical
reproducibility when compared to the original C implementation of the
respective PRNG algorithms. Additionally, we aim to evaluate the time
efficiency and energy consumption of various implementations. Our experiments
encompass Python, NumPy, TensorFlow, and PyTorch, utilizing the Mersenne
Twister, PCG, and Philox algorithms. Remarkably, we verified that the temporal
performance of machine learning technologies closely aligns with that of
C-based implementations, with instances of achieving even superior
performances. On the other hand, it is noteworthy that ML technologies consumed
only 10% more energy than their C-implementation counterparts. However, while
statistical quality was found to be comparable, achieving numerical
reproducibility across different platforms for identical seeds and algorithms
was not achieved.
","['\nBenjamin Antunes\n', '\nDavid R. C Hill\n']","20 pages, 10 tables, 1 figure",,http://arxiv.org/abs/2401.17345v2,cs.MS,"['cs.MS', 'cs.LG']",,,[]
"Sphractal: Estimating the Fractal Dimension of Surfaces Computed from
  Precise Atomic Coordinates via Box-Counting Algorithm",http://arxiv.org/abs/2401.11737v1,2024-01-22T07:29:22Z,2024-01-22T07:29:22Z,"  The fractal dimension of a surface allows its degree of roughness to be
characterised quantitatively. However, limited effort has been attempted to
compute the fractal dimension of surfaces computed from precisely known atomic
coordinates from computational biomolecular and nanomaterial studies. This work
proposes methods to estimate the fractal dimension of the surface of any
three-dimensional object composed of spheres, by representing it as either a
voxelised point cloud or a mathematically exact surface, and computing its
box-counting dimension. Sphractal is published as a Python package that
provides these functionalities, and its utility is demonstrated on a set of
simulated palladium nanoparticle data.
","['\nJonathan Yik Chang Ting\n', '\nAndrew Thomas Agars Wood\n', '\nAmanda Susan Barnard\n']","46 pages, 26 figures, submitted to Advanced Theory and Simulations",,http://arxiv.org/abs/2401.11737v1,cs.MS,"['cs.MS', 'physics.atom-ph', 'physics.comp-ph']",,,[]
Open Source Prover in the Attic,http://arxiv.org/abs/2401.13702v1,2024-01-22T12:50:29Z,2024-01-22T12:50:29Z,"  The well known JGEX program became open source a few years ago, but
seemingly, further development of the program can only be done without the
original authors. In our project, we are looking at whether it is possible to
continue such a large project as a newcomer without the involvement of the
original authors. Is there a way to internationalize, fix bugs, improve the
code base, add new features? In other words, to save a relic found in the attic
and polish it into a useful everyday tool.
","['\nZoltán Kovács\nThe Private University College of Education of the Diocese of Linz, Austria\n', '\nAlexander Vujic\nThe Private University College of Education of the Diocese of Linz, Austria\n']","In Proceedings ADG 2023, arXiv:2401.10725","EPTCS 398, 2024, pp. 53-61",http://dx.doi.org/10.4204/EPTCS.398.9,cs.PL,"['cs.PL', 'cs.MS', 'cs.SC', 'cs.SE']",10.4204/EPTCS.398.9,,"['The Private University College of Education of the Diocese of Linz, Austria', 'The Private University College of Education of the Diocese of Linz, Austria']"
Evaluation of POSIT Arithmetic with Accelerators,http://arxiv.org/abs/2401.14117v1,2024-01-25T11:54:44Z,2024-01-25T11:54:44Z,"  We present an evaluation of 32-bit POSIT arithmetic through its
implementation as accelerators on FPGAs and GPUs. POSIT, a floating-point
number format, adaptively changes the size of its fractional part. We developed
hardware designs for FPGAs and software for GPUs to accelerate linear algebra
operations using Posit(32,2) arithmetic. Our FPGA- and GPU-based accelerators
in Posit(32,2) arithmetic significantly accelerated the Cholesky and LU
decomposition algorithms for dense matrices. In terms of numerical accuracy,
Posit(32,2) arithmetic is approximately 0.5 - 1.0 digits more accurate than the
standard 32-bit format, especially when the norm of the elements of the input
matrix is close to 1. Evaluating power consumption, we observed that the power
efficiency of the accelerators ranged between 0.043 - 0.076 Gflops/watts for
the LU decomposition in Posit(32,2) arithmetic. The power efficiency of the
latest GPUs as accelerators of Posit(32,2) arithmetic is better than that of
the evaluated FPGA chip.
","['\nNaohito Nakasato\n', '\nYuki Murakami\n', '\nFumiya Kono\n', '\nMaho Nakata\n']","11 pages, 8 figures; Published in HPCAsia '24: Proceedings of the
  International Conference on High Performance Computing in Asia-Pacific Region","HPCAsia '24: Proceedings of the International Conference on High
  Performance Computing in Asia-Pacific Region, January 2024, Pages 62-72",http://dx.doi.org/10.1145/3635035.3635046,cs.DC,"['cs.DC', 'cs.AR', 'cs.MS']",10.1145/3635035.3635046,,[]
"Mixed-Order Meshes through rp-adaptivity for Surface Fitting to Implicit
  Geometries",http://arxiv.org/abs/2401.16369v1,2024-01-29T18:10:01Z,2024-01-29T18:10:01Z,"  Computational analysis with the finite element method requires geometrically
accurate meshes. It is well known that high-order meshes can accurately capture
curved surfaces with fewer degrees of freedom in comparison to low-order
meshes. Existing techniques for high-order mesh generation typically output
meshes with same polynomial order for all elements. However, high order
elements away from curvilinear boundaries or interfaces increase the
computational cost of the simulation without increasing geometric accuracy. In
prior work, we have presented one such approach for generating body-fitted
uniform-order meshes that takes a given mesh and morphs it to align with the
surface of interest prescribed as the zero isocontour of a level-set function.
We extend this method to generate mixed-order meshes such that curved surfaces
of the domain are discretized with high-order elements, while low-order
elements are used elsewhere. Numerical experiments demonstrate the robustness
of the approach and show that it can be used to generate mixed-order meshes
that are much more efficient than high uniform-order meshes. The proposed
approach is purely algebraic, and extends to different types of elements
(quadrilaterals/triangles/tetrahedron/hexahedra) in two- and three-dimensions.
","['\nKetan Mittal\n', '\nVeselin A. Dobrev\n', '\nPatrick Knupp\n', '\nTzanio Kolev\n', '\nFranck Ledoux\n', '\nClaire Roche\n', '\nVladimir Z. Tomov\n']","14 pages, 11 figures",,http://arxiv.org/abs/2401.16369v1,cs.MS,"['cs.MS', 'cs.NA', 'math.NA']",,,[]
Rigorous Error Analysis for Logarithmic Number Systems,http://arxiv.org/abs/2401.17184v1,2024-01-30T17:12:56Z,2024-01-30T17:12:56Z,"  Logarithmic Number Systems (LNS) hold considerable promise in helping reduce
the number of bits needed to represent a high dynamic range of real-numbers
with finite precision, and also efficiently support multiplication and
division. However, under LNS, addition and subtraction turn into non-linear
functions that must be approximated - typically using precomputed table-based
functions. Additionally, multiple layers of error correction are typically
needed to improve result accuracy. Unfortunately, previous efforts have not
characterized the resulting error bound. We provide the first rigorous analysis
of LNS, covering detailed techniques such as co-transformation that are crucial
to implementing subtraction with reasonable accuracy. We provide theorems
capturing the error due to table interpolations, the finite precision of
pre-computed values in the tables, and the error introduced by fix-point
multiplications involved in LNS implementations. We empirically validate our
analysis using a Python implementation, showing that our analytical bounds are
tight, and that our testing campaign generates inputs diverse-enough to almost
match (but not exceed) the analytical bounds. We close with discussions on how
to adapt our analysis to LNS systems with different bases and also discuss many
pragmatic ramifications of our work in the broader arena of scientific
computing and machine learning.
","['\nThanh Son Nguyen\n', '\nAlexey Solovyev\n', '\nGanesh Gopalakrishnan\n']","42 pages, 14 figures, 6 tables",,http://arxiv.org/abs/2401.17184v1,cs.MS,"['cs.MS', 'cs.NA', 'math.NA', '65G50', 'G.1']",,,[]
Efficient N-to-M Checkpointing Algorithm for Finite Element Simulations,http://arxiv.org/abs/2401.05868v1,2024-01-11T12:20:50Z,2024-01-11T12:20:50Z,"  In this work, we introduce a new algorithm for N-to-M checkpointing in finite
element simulations. This new algorithm allows efficient saving/loading of
functions representing physical quantities associated with the mesh
representing the physical domain. Specifically, the algorithm allows for using
different numbers of parallel processes for saving and loading, allowing for
restarting and post-processing on the process count appropriate to the given
phase of the simulation and other conditions. For demonstration, we implemented
this algorithm in PETSc, the Portable, Extensible Toolkit for Scientific
Computation, and added a convenient high-level interface into Firedrake, a
system for solving partial differential equations using finite element methods.
We evaluated our new implementation by saving and loading data involving 8.2
billion finite element degrees of freedom using 8,192 parallel processes on
ARCHER2, the UK National Supercomputing Service.
","['\nDavid A. Ham\n', '\nVaclav Hapla\n', '\nMatthew G. Knepley\n', '\nLawrence Mitchell\n', '\nKoki Sagiyama\n']",,,http://arxiv.org/abs/2401.05868v1,cs.DC,"['cs.DC', 'cs.MS']",,,[]
"Approximations of the integral of a class of sinusoidal composite
  functions",http://arxiv.org/abs/2401.08080v1,2024-01-16T03:13:02Z,2024-01-16T03:13:02Z,"  Two approximations of the integral of a class of sinusoidal composite
functions, for which an explicit form does not exist, are derived. Numerical
experiments show that the proposed approximations yield an error that does not
depend on the width of the integration interval. Using such approximations,
definite integrals can be computed in almost real-time.
",['\nAlberto Costa\n'],,,http://arxiv.org/abs/2401.08080v1,math.NA,"['math.NA', 'cs.MS', 'cs.NA']",,,[]
