Title,ID,Published,Updated,Summary,Author,Comments,Journal_Ref,Link,Primary_Category,Categories,DOI,License,Affiliation
"MATRYOSHKA: Non-Exclusive Memory Tiering via Transactional Page
  Migration",http://arxiv.org/abs/2401.13154v1,2024-01-24T00:19:19Z,2024-01-24T00:19:19Z,"  With the advent of byte-addressable memory devices, such as CXL memory,
persistent memory, and storage-class memory, tiered memory systems have become
a reality. Page migration is the de facto method within operating systems for
managing tiered memory. It aims to bring hot data whenever possible into fast
memory to optimize the performance of data accesses while using slow memory to
accommodate data spilled from fast memory. While the existing research has
demonstrated the effectiveness of various optimizations on page migration, it
falls short of addressing a fundamental question: Is exclusive memory tiering,
in which a page is either present in fast memory or slow memory, but not both
simultaneously, the optimal strategy for tiered memory management?
  We demonstrate that page migration-based exclusive memory tiering suffers
significant performance degradation when fast memory is under pressure. In this
paper, we propose non-exclusive memory tiering, a page management strategy that
retains a copy of pages recently promoted from slow memory to fast memory to
mitigate memory thrashing. To enable non-exclusive memory tiering, we develop
MATRYOSHKA, a new mechanism that features transactional page migration and page
shadowing. MATRYOSHKA removes page migration off the program's critical path
and makes migration asynchronous. Evaluations with microbenchmarks and
realworld applications show that MATRYOSHKA achieves 6x performance improvement
over the state-of-the-art transparent page placement (TPP) approach under
memory pressure. We also compare MATRYOSHKA with a recently proposed
sampling-based migration approach and demonstrate MATRYOSHKA's strengths and
potential weaknesses in various scenarios. Through the evaluations, we discover
a serious issue facing all tested approaches, unfortunately including
MATRYOSHKA, and call for further research on tiered memory-aware memory
allocation.
","['\nLingfeng Xiang\n', '\nZhen Lin\n', '\nWeishu Deng\n', '\nHui Lu\n', '\nJia Rao\n', '\nYifan Yuan\n', '\nRen Wang\n']",,,http://arxiv.org/abs/2401.13154v1,cs.OS,['cs.OS'],,,[]
numaPTE: Managing Page-Tables and TLBs on NUMA Systems,http://arxiv.org/abs/2401.15558v1,2024-01-28T03:50:14Z,2024-01-28T03:50:14Z,"  Memory management operations that modify page-tables, typically performed
during memory allocation/deallocation, are infamous for their poor performance
in highly threaded applications, largely due to process-wide TLB shootdowns
that the OS must issue due to the lack of hardware support for TLB coherence.
We study these operations in NUMA settings, where we observe up to 40x overhead
for basic operations such as munmap or mprotect. The overhead further increases
if page-table replication is used, where complete coherent copies of the
page-tables are maintained across all NUMA nodes. While eager system-wide
replication is extremely effective at localizing page-table reads during
address translation, we find that it creates additional penalties upon any
page-table changes due to the need to maintain all replicas coherent.
  In this paper, we propose a novel page-table management mechanism, called
numaPTE, to enable transparent, on-demand, and partial page-table replication
across NUMA nodes in order to perform address translation locally, while
avoiding the overheads and scalability issues of system-wide full page-table
replication. We then show that numaPTE's precise knowledge of page-table
sharers can be leveraged to significantly reduce the number of TLB shootdowns
issued upon any memory-management operation. As a result, numaPTE not only
avoids replication-related slowdowns, but also provides significant speedup
over the baseline on memory allocation/deallocation and access control
operations. We implement numaPTEin Linux on x86_64, evaluate it on 4- and
8-socket systems, and show that numaPTE achieves the full benefits of eager
page-table replication on a wide range of applications, while also achieving a
12% and 36% runtime improvement on Webserver and Memcached respectively due to
a significant reduction in TLB shootdowns.
","['\nBin Gao\n', '\nQingxuan Kang\n', '\nHao-Wei Tee\n', '\nKyle Timothy Ng Chu\n', '\nAlireza Sanaee\n', '\nDjordje Jevdjic\n']",,,http://arxiv.org/abs/2401.15558v1,cs.OS,['cs.OS'],,,[]
"Characterizing Network Requirements for GPU API Remoting in AI
  Applications",http://arxiv.org/abs/2401.13354v1,2024-01-24T10:30:39Z,2024-01-24T10:30:39Z,"  GPU remoting is a promising technique for supporting AI applications.
Networking plays a key role in enabling remoting. However, for efficient
remoting, the network requirements in terms of latency and bandwidth are
unknown. In this paper, we take a GPU-centric approach to derive the minimum
latency and bandwidth requirements for GPU remoting, while ensuring no (or
little) performance degradation for AI applications. Our study including
theoretical model demonstrates that, with careful remoting design, unmodified
AI applications can run on the remoting setup using commodity networking
hardware without any overhead or even with better performance, with low network
demands.
","['\nTianxia Wang\n', '\nZhuofu Chen\n', '\nXingda Wei\n', '\nJinyu Gu\n', '\nRong Chen\n', '\nHaibo Chen\n']",,,http://arxiv.org/abs/2401.13354v1,cs.OS,"['cs.OS', 'cs.NI']",,,[]
"Beyond Control: Exploring Novel File System Objects for Data-Only
  Attacks on Linux Systems",http://arxiv.org/abs/2401.17618v1,2024-01-31T06:16:00Z,2024-01-31T06:16:00Z,"  The widespread deployment of control-flow integrity has propelled non-control
data attacks into the mainstream. In the domain of OS kernel exploits, by
corrupting critical non-control data, local attackers can directly gain root
access or privilege escalation without hijacking the control flow. As a result,
OS kernels have been restricting the availability of such non-control data.
This forces attackers to continue to search for more exploitable non-control
data in OS kernels. However, discovering unknown non-control data can be
daunting because they are often tied heavily to semantics and lack universal
patterns.
  We make two contributions in this paper: (1) discover critical non-control
objects in the file subsystem and (2) analyze their exploitability. This work
represents the first study, with minimal domain knowledge, to
semi-automatically discover and evaluate exploitable non-control data within
the file subsystem of the Linux kernel. Our solution utilizes a custom analysis
and testing framework that statically and dynamically identifies promising
candidate objects. Furthermore, we categorize these discovered objects into
types that are suitable for various exploit strategies, including a novel
strategy necessary to overcome the defense that isolates many of these objects.
These objects have the advantage of being exploitable without requiring KASLR,
thus making the exploits simpler and more reliable. We use 18 real-world CVEs
to evaluate the exploitability of the file system objects using various exploit
strategies. We develop 10 end-to-end exploits using a subset of CVEs against
the kernel with all state-of-the-art mitigations enabled.
","['\nJinmeng Zhou\n', '\nJiayi Hu\n', '\nZiyue Pan\n', '\nJiaxun Zhu\n', '\nGuoren Li\n', '\nWenbo Shen\n', '\nYulei Sui\n', '\nZhiyun Qian\n']","14 pages, in submission of the 31th ACM Conference on Computer and
  Communications Security (CCS), 2024",,http://arxiv.org/abs/2401.17618v1,cs.CR,"['cs.CR', 'cs.OS']",,,[]
SyzRetrospector: A Large-Scale Retrospective Study of Syzbot,http://arxiv.org/abs/2401.11642v1,2024-01-22T01:06:55Z,2024-01-22T01:06:55Z,"  Over the past 6 years, Syzbot has fuzzed the Linux kernel day and night to
report over 5570 bugs, of which 4604 have been patched [11]. While this is
impressive, we have found the average time to find a bug is over 405 days.
Moreover, we have found that current metrics commonly used, such as
time-to-find and number of bugs found, are inaccurate in evaluating Syzbot
since bugs often spend the majority of their lives hidden from the fuzzer. In
this paper, we set out to better understand and quantify Syzbot's performance
and improvement in finding bugs. Our tool, SyzRetrospector, takes a different
approach to evaluating Syzbot by finding the earliest that Syzbot was capable
of finding a bug, and why that bug was revealed. We use SyzRetrospector on a
large scale to analyze 559 bugs and find that bugs are hidden for an average of
331.17 days before Syzbot is even able to find them. We further present
findings on the behaviors of revealing factors, how some bugs are harder to
reveal than others, the trends in delays over the past 6 years, and how bug
location relates to delays. We also provide key takeaways for improving
Syzbot's delays.
","['\nJoseph Bursey\n', '\nArdalan Amiri Sani\n', '\nZhiyun Qian\n']",,,http://arxiv.org/abs/2401.11642v1,cs.SE,"['cs.SE', 'cs.CR', 'cs.OS']",,,[]
File System Aging,http://arxiv.org/abs/2401.08858v1,2024-01-16T22:18:51Z,2024-01-16T22:18:51Z,"  File systems must allocate space for files without knowing what will be added
or removed in the future. Over the life of a file system, this may cause
suboptimal file placement decisions that eventually lead to slower performance,
or aging. Conventional wisdom suggests that file system aging is a solved
problem in the common case; heuristics to avoid aging, such as colocating
related files and data blocks, are effective until a storage device fills up,
at which point space pressure exacerbates fragmentation-based aging. However,
this article describes both realistic and synthetic workloads that can cause
these heuristics to fail, inducing large performance declines due to aging,
even when the storage device is nearly empty.
  We argue that these slowdowns are caused by poor layout. We demonstrate a
correlation between the read performance of a directory scan and the locality
within a file system's access patterns, using a dynamic layout score. We
complement these results with microbenchmarks that show that space pressure can
cause a substantial amount of inter-file and intra-file fragmentation. However,
our results suggest that the effect of free-space fragmentation on read
performance is best described as accelerating the file system aging process.
The effect on write performance is non-existent in some cases, and, in most
cases, an order of magnitude smaller than the read degradation from
fragmentation caused by normal usage.
  In short, many file systems are exquisitely prone to read aging after a
variety of write patterns. We show, however, that aging is not inevitable.
BetrFS, a file system based on write-optimized dictionaries, exhibits almost no
aging in our experiments. We present a framework for understanding and
predicting aging, and identify the key features of BetrFS that avoid aging.
","['\nAlex Conway\n', '\nAinesh Bakshi\n', '\nArghya Bhattacharya\n', '\nRory Bennett\n', '\nYizheng Jiao\n', '\nEric Knorr\n', '\nYang Zhan\n', '\nMichael A. Bender\n', '\nWilliam Jannen\n', '\nRob Johnson\n', '\nBradley C. Kuszmaul\n', '\nDonald E. Porter\n', '\nJun Yuan\n', '\nMartin Farach-Colton\n']","36 pages, 12 figures. Article is an extension of Conway et al. FAST
  17. (see
  https://www.usenix.org/conference/fast17/technical-sessions/presentation/conway)
  and Conway et al. HotStorage 19. (see
  https://www.usenix.org/conference/hotstorage19/presentation/conway)",,http://arxiv.org/abs/2401.08858v1,cs.OS,"['cs.OS', 'H.3.2; D.4.3; D.4.2; D.4.8; E.1; E.5; H.3.4']",,,[]
Dynamic Voltage and Frequency Scaling for Intermittent Computing,http://arxiv.org/abs/2401.08710v1,2024-01-15T12:04:04Z,2024-01-15T12:04:04Z,"  We present hardware/software techniques to intelligently regulate supply
voltage and clock frequency of intermittently-computing devices. These devices
rely on ambient energy harvesting to power their operation and small capacitors
as energy buffers. Statically setting their clock frequency fails to capture
the unique relations these devices expose between capacitor voltage, energy
efficiency at a given operating frequency, and the corresponding operating
range. Existing dynamic voltage and frequency scaling techniques are also
largely inapplicable due to extreme energy scarcity and peculiar hardware
features. We introduce two hardware/software co-designs that accommodate the
distinct hardware features and function within a constrained energy envelope,
offering varied trade-offs and functionalities. Our experimental evaluation
combines tests on custom-manufactured hardware and detailed emulation
experiments. The data gathered indicate that our approaches result in up to
3.75x reduced energy consumption and 12x swifter execution times compared to
the considered baselines, all while utilizing smaller capacitors to accomplish
identical workloads.
","['\nAndrea Maioli\n', '\nKevin A. Quinones\n', '\nSaad Ahmed\n', '\nMuhammad H. Alizai\n', '\nLuca Mottola\n']",,,http://arxiv.org/abs/2401.08710v1,cs.AR,"['cs.AR', 'cs.OS']",,,[]
Herding LLaMaS: Using LLMs as an OS Module,http://arxiv.org/abs/2401.08908v1,2024-01-17T01:32:45Z,2024-01-17T01:32:45Z,"  Computer systems are becoming increasingly heterogeneous with the emergence
of new memory technologies and compute devices. GPUs alongside CPUs have become
commonplace and CXL is poised to be a mainstay of cloud systems. The operating
system is responsible for managing these hardware resources, requiring
modification every time a new device is released. Years of research and
development are sunk into tuning the OS for high performance with each new
heterogeneous device. With the recent explosion in memory technologies and
domain-specific accelerators, it would be beneficial to have an OS that could
provide high performance for new devices without significant effort.
  We propose LLaMaS which can adapt to new devices easily. LLaMaS uses Large
Language Models (LLMs) to extract the useful features of new devices from their
textual description and uses these features to make operating system decisions
at runtime. Adding support to LLaMaS for a new device is as simple as
describing the system and new device properties in plaintext.
  LLaMaS reduces the burden on system administrators to enable easy integration
of new devices into production systems.
  Preliminary evaluation using ChatGPT shows that LLMs are capable of
extracting device features from text and make correct OS decisions based on
those features.
","['\nAditya K Kamath\n', '\nSujay Yadalam\n']","ASPLOS 2023, Wild and Crazy Ideas session",,http://arxiv.org/abs/2401.08908v1,cs.OS,"['cs.OS', 'cs.LG']",,,[]
"When eBPF Meets Machine Learning: On-the-fly OS Kernel
  Compartmentalization",http://arxiv.org/abs/2401.05641v1,2024-01-11T03:30:50Z,2024-01-11T03:30:50Z,"  Compartmentalization effectively prevents initial corruption from turning
into a successful attack. This paper presents O2C, a pioneering system designed
to enforce OS kernel compartmentalization on the fly. It not only provides
immediate remediation for sudden threats but also maintains consistent system
availability through the enforcement process.
  O2C is empowered by the newest advancements of the eBPF ecosystem which
allows to instrument eBPF programs that perform enforcement actions into the
kernel at runtime. O2C takes the lead in embedding a machine learning model
into eBPF programs, addressing unique challenges in on-the-fly
compartmentalization. Our comprehensive evaluation shows that O2C effectively
confines damage within the compartment. Further, we validate that decision tree
is optimally suited for O2C owing to its advantages in processing tabular data,
its explainable nature, and its compliance with the eBPF ecosystem. Last but
not least, O2C is lightweight, showing negligible overhead and excellent
sacalability system-wide.
","['\nZicheng Wang\n', '\nTiejin Chen\n', '\nQinrun Dai\n', '\nYueqi Chen\n', '\nHua Wei\n', '\nQingkai Zeng\n']",,,http://arxiv.org/abs/2401.05641v1,cs.OS,"['cs.OS', 'cs.CR', 'cs.LG']",,,[]
"Data-Driven Power Modeling and Monitoring via Hardware Performance
  Counters Tracking",http://arxiv.org/abs/2401.01826v1,2024-01-03T16:43:09Z,2024-01-03T16:43:09Z,"  In the current high-performance and embedded computing era, full-stack
energy-centric design is paramount. Use cases require increasingly high
performance at an affordable power budget, often under real-time constraints.
Extreme heterogeneity and parallelism address these issues but greatly
complicate online power consumption assessment, which is essential for dynamic
hardware and software stack adaptations. We introduce a novel
architecture-agnostic power modeling methodology with state-of-the-art
accuracy, low overhead, and high responsiveness. Our methodology identifies the
best Performance Monitoring Counters (PMCs) to model the power consumption of
each hardware sub-system at each Dynamic Voltage and Frequency Scaling (DVFS)
state. The individual linear models are combined into a complete model that
effectively describes the power consumption of the whole system, achieving high
accuracy and low overhead. Our evaluation reports an average estimation error
of 7.5 % for power consumption and 1.3 % for energy. Furthermore, we propose
Runmeter, an open-source, PMC-based monitoring framework integrated into the
Linux kernel. Runmeter manages PMC samples collection and manipulation,
efficiently evaluating our power models at runtime. With a time overhead of
only 0.7 % in the worst case, Runmeter provides responsive and accurate power
measurements directly in the kernel, which can be employed for actuation
policies such as Dynamic Power Management (DPM) and power-aware task
scheduling.
","['\nSergio Mazzola\n', '\nGabriele Ara\n', '\nThomas Benz\n', '\nBjörn Forsberg\n', '\nTommaso Cucinotta\n', '\nLuca Benini\n']","13 pages, 5 figures, submitted to the IEEE for possible publication",,http://arxiv.org/abs/2401.01826v1,cs.PF,"['cs.PF', 'cs.OS']",,,[]
