Title,Authors,Published,Updated,Summary,ID,Categories,Real_Categories
Supersymmetry Structure and Phenomena,['Nir Polonsky'],2001-08-29T01:48:12Z,2001-08-29T01:48:12Z,"A fairly non-technical introduction to and survey of supersymmetry
phenomenology with pedagogical emphasis, including exercises. Suitable for both
theorists and experimentalists. The manuscript appeared as a Springer-Verlag
monograph in physics. The body of the manuscript is provided here with the
publisher`s permission.",http://arxiv.org/abs/hep-ph/0108236v1,['hep-ph'],['High Energy Physics - Phenomenology']
q-Boson approach to multiparticle correlations,"['D. V. Anchishkin', 'A. M. Gavrilik', 'N. Z. Iorgov']",2000-10-03T10:25:50Z,2000-10-03T10:25:50Z,"An approach is proposed enabling to effectively describe, for relativistic
heavy-ion collisions, the observed deviation from unity of the intercept
\lambda (measured value corresponding to zero relative momentum {\bf p} of two
registered identical pions or kaons) of the two-particle correlation function
C(p,K). The approach uses q-deformed oscillators and the related picture of
ideal gas of q-bosons. In effect, the intercept \lambda is connected with
deformation parameter q. For a fixed value of q, the model predicts specific
dependence of \lambda on pair mean momentum {\bf K} so that, when |{\bf
K}|\gsim 500 - 600 MeV/c for pions or when |{\bf K}|\gsim 700 - 800 MeV/c for
kaons, the intercept \lambda tends to a constant which is less than unity and
determined by q. If q is fixed to be the same for pions and kaons, the
intercepts \lambda_\pi and \lambda_K essentially differ at small mean momenta
{\bf K}, but tend to be equal at {\bf K} large enough (|{\bf K}|\gsim 800MeV/c)
where the effect of resonance decays can be neglected. We argue that it is of
basic interest to check in the experiments on heavy ion collisions: (i) the
exact shape of dependence \lambda = \lambda({\bf K}), and (ii) whether for
|{\bf K}| \gsim 800 MeV/c the resulting \lambda_\pi and \lambda_K indeed
coincide.",http://arxiv.org/abs/hep-ph/0010019v1,['hep-ph'],['High Energy Physics - Phenomenology']
Gauge theory of things alive and universal dynamics,['G. Mack'],1994-11-28T12:26:32Z,1994-11-28T12:26:32Z,"Positing complex adaptive systems made of agents with relations between them
that can be composed, it follows that they can be described by gauge theories
similar to elementary particle theory and general relativity. By definition, a
universal dynamics is able to determine the time development of any such system
without need for further specification. The possibilities are limited, but one
of them - reproduction fork dynamics - describes DNA replication and is the
basis of biological life on earth. It is a universal copy machine and a
renormalization group fixed point. A universal equation of motion in continuous
time is also presented.",http://arxiv.org/abs/hep-lat/9411059v1,['hep-lat'],['High Energy Physics - Lattice']
Solar neutrinos: global analysis and implications for SNO,"['John N. Bahcall', 'Plamen I. Krastev', 'Alexei Yu. Smirnov']",2001-03-16T00:36:02Z,2001-03-20T14:53:05Z,"We present a global analysis of all the available solar neutrino data
treating consistently the 8B and hep neutrino fluxes as free parameters. The
analysis reveals at 99.7% C.L. eight currently-allowed discrete regions in
two-neutrino oscillation space, five regions corresponding to active neutrinos
and three corresponding to sterile neutrinos. Most of the allowed solutions are
robust with respect to changes in the analysis procedure, but the traditional
vacuum solution is fragile. The globally-permitted range of the 8B neutrino
flux, 0.45 to 1.95 in units of the BP2000 flux, is comparable to the 3 sigma
range allowed by the standard solar model. We discuss the implications for SNO
of a low mass, Delta m^2 ~ 6 times 10^{-12} eV^2, vacuum oscillation solution,
previously found by Raghavan, and by Krastev and Petcov, but absent in recent
analyses that included Super-Kamiokande data. For the SNO experiment, we
present refined predictions for the charged-current rate and the ratio of the
neutral-current rate to charged-current rate. The predicted charged-current
rate can be clearly distinguished from the no-oscillation rate only for the LMA
solution. The predicted ratio of the neutral-current rate to charged-current
rate is distinguishable from the no-oscillation ratio for the LMA, SMA, LOW,
and VAC solutions for active neutrinos.",http://arxiv.org/abs/hep-ph/0103179v3,['hep-ph'],['High Energy Physics - Phenomenology']
Hints on the power corrections from current correlators in x-space,"['S. Narison', 'V. I. Zakharov']",2001-10-10T17:32:12Z,2001-10-19T15:22:11Z,"We consider an interpretation of the recent lattice data on the
current-current correlators in the x-space. The data indicate rather striking
difference between (axial)vector and (pseudo)scalar channels which goes beyond
the predictions of the standard non-perturbative models. We argue that if the
difference is to be explained by power corrections, there is a unique choice of
the form of the correction. We discuss the emerging picture of the power
corrections.",http://arxiv.org/abs/hep-ph/0110141v2,['hep-ph'],['High Energy Physics - Phenomenology']
"Barionic Resonances with Positive Strangeness S=+1 in the System nK+
  from the Reaction np -> npK+K- at the Momentum of Incident Neutrons Pn=5.20
  Gev/c","['Yu. A. Troyan', 'A. V. Beljaev', 'A. Yu. Troyan', 'E. B. Plekhanov', 'A. P. Jerusalimov', 'S. G. Arakelian']",2006-10-30T13:21:34Z,2006-11-24T12:16:02Z,"The production and properties of the resonances with the strangeness S=+1 in
the system of nK+ were studied in the reaction np->npK+K- at the momentum of
incident neutrons Pn=(5.20 +/- 0.12)GeV/c. A number of peculiarities were found
in the effective mass spectrum of the mentioned above system. Their widths are
comparable with the mass resolution. The estimation of the spins of resonances
was carried out and the rotational band connecting the resonances masses and
their spins was constructed.",http://arxiv.org/abs/hep-ex/0610085v3,['hep-ex'],['High Energy Physics - Experiment']
Restoration of chiral symmetry in excited hadrons,['L. Ya. Glozman'],2004-10-13T14:56:43Z,2004-10-13T14:56:43Z,"Physics of the low-lying and high-lying hadrons in the light flavor sector is
reviewed. While the low-lying hadrons are strongly affected by the spontaneous
breaking of chiral symmetry, in the high-lying hadrons the chiral symmetry is
restored. A manifestation of the chiral symmetry restoration in excited hadrons
is a persistence of the chiral multiplet structure in both baryon and meson
spectra. Meson and baryon chiral multiplets are classified. A relation between
the chiral symmetry restoration and the string picture of excited hadrons is
discussed.",http://arxiv.org/abs/hep-ph/0410194v1,['hep-ph'],['High Energy Physics - Phenomenology']
"Chiral and U(1)_A restorations high in the hadron spectrum,
  semiclassical approximation and large N_c",['L. Ya. Glozman'],2004-11-21T10:17:31Z,2005-06-22T08:01:15Z,"In quantum systems with large $n$ (radial quantum number) or large angular
momentum the semiclassical (WKB) approximation is valid. A physical content of
the semiclassical approximation is that the quantum fluctuations effects are
suppressed and vanish asymptotically. The chiral as well as $U(1)_A$ breakings
in QCD result from quantum fluctuations. Hence these breakings must be
suppressed high in the spectrum and the spectrum of high-lying hadrons must
exhibit $U(2)_L \times U(2)_R$ symmetry of the classical QCD Lagrangian. This
argument can be made stronger for mesons in the large $N_c$ limit. In this
limit all mesons are stable against strong decays and the spectrum is infinite.
Hence, one can excite mesons of arbitrary large size with arbitrary large
action, in which case the semiclassical limit is manifest. Actually we do not
need the exact $N_c=\infty$ limit. For any large action there always exist such
$N_c$ that the isolated mesons with such an action do exist and can be
described semiclassically. From the empirical fact that we observe multiplets
of chiral and $U(1)_A$ groups high in the hadron spectrum it follows that
$N_c=3$ is large enough for this purpose.",http://arxiv.org/abs/hep-ph/0411281v4,['hep-ph'],['High Energy Physics - Phenomenology']
"Heavy quarkonium: progress, puzzles, and opportunities","['N. Brambilla', 'S. Eidelman', 'B. K. Heltsley', 'R. Vogt', 'G. T. Bodwin', 'E. Eichten', 'A. D. Frawley', 'A. B. Meyer', 'R. E. Mitchell', 'V. Papadimitriou', 'P. Petreczky', 'A. A. Petrov', 'P. Robbe', 'A. Vairo', 'A. Andronic', 'R. Arnaldi', 'P. Artoisenet', 'G. Bali', 'A. Bertolin', 'D. Bettoni', 'J. Brodzicka', 'G. E. Bruno', 'A. Caldwell', 'J. Catmore', 'C. -H. Chang', 'K. -T. Chao', 'E. Chudakov', 'P. Cortese', 'P. Crochet', 'A. Drutskoy', 'U. Ellwanger', 'P. Faccioli', 'A. Gabareen Mokhtar', 'X. Garcia i Tormo', 'C. Hanhart', 'F. A. Harris', 'D. M. Kaplan', 'S. R. Klein', 'H. Kowalski', 'J. -P. Lansberg', 'E. Levichev', 'V. Lombardo', 'C. Lourenco', 'F. Maltoni', 'A. Mocsy', 'R. Mussa', 'F. S. Navarra', 'M. Negrini', 'M. Nielsen', 'S. L. Olsen', 'P. Pakhlov', 'G. Pakhlova', 'K. Peters', 'A. D. Polosa', 'W. Qian', 'J. -W. Qiu', 'G. Rong', 'M. A. Sanchis-Lozano', 'E. Scomparin', 'P. Senger', 'F. Simon', 'S. Stracka', 'Y. Sumino', 'M. Voloshin', 'C. Weiss', 'H. K. Wöhri', 'C. -Z. Yuan']",2010-10-27T23:38:05Z,2011-02-11T17:58:05Z,"A golden age for heavy quarkonium physics dawned a decade ago, initiated by
the confluence of exciting advances in quantum chromodynamics (QCD) and an
explosion of related experimental activity. The early years of this period were
chronicled in the Quarkonium Working Group (QWG) CERN Yellow Report (YR) in
2004, which presented a comprehensive review of the status of the field at that
time and provided specific recommendations for further progress. However, the
broad spectrum of subsequent breakthroughs, surprises, and continuing puzzles
could only be partially anticipated. Since the release of the YR, the BESII
program concluded only to give birth to BESIII; the $B$-factories and CLEO-c
flourished; quarkonium production and polarization measurements at HERA and the
Tevatron matured; and heavy-ion collisions at RHIC have opened a window on the
deconfinement regime. All these experiments leave legacies of quality,
precision, and unsolved mysteries for quarkonium physics, and therefore beg for
continuing investigations. The plethora of newly-found quarkonium-like states
unleashed a flood of theoretical investigations into new forms of matter such
as quark-gluon hybrids, mesonic molecules, and tetraquarks. Measurements of the
spectroscopy, decays, production, and in-medium behavior of c\bar{c}, b\bar{b},
and b\bar{c} bound states have been shown to validate some theoretical
approaches to QCD and highlight lack of quantitative success for others. The
intriguing details of quarkonium suppression in heavy-ion collisions that have
emerged from RHIC have elevated the importance of separating hot- and
cold-nuclear-matter effects in quark-gluon plasma studies. This review
systematically addresses all these matters and concludes by prioritizing
directions for ongoing and future efforts.",http://arxiv.org/abs/1010.5827v3,[],[]
QCD and strongly coupled gauge theories: challenges and perspectives,"['N. Brambilla', 'S. Eidelman', 'P. Foka', 'S. Gardner', 'A. S. Kronfeld', 'M. G. Alford', 'R. Alkofer', 'M. Butenschoen', 'T. D. Cohen', 'J. Erdmenger', 'L. Fabbietti', 'M. Faber', 'J. L. Goity', 'B. Ketzer', 'H. W. Lin', 'F. J. Llanes-Estrada', 'H. Meyer', 'P. Pakhlov', 'E. Pallante', 'M. I. Polikarpov', 'H. Sazdjian', 'A. Schmitt', 'W. M. Snow', 'A. Vairo', 'R. Vogt', 'A. Vuorinen', 'H. Wittig', 'P. Arnold', 'P. Christakoglou', 'P. Di Nezza', 'Z. Fodor', 'X. Garcia i Tormo', 'R. Höllwieser', 'A. Kalwait', 'D. Keane', 'E. Kiritsis', 'A. Mischke', 'R. Mizuk', 'G. Odyniec', 'K. Papadodimas', 'A. Pich', 'R. Pittau', 'Jian-Wei Qiu', 'G. Ricciardi', 'C. A. Salgado', 'K. Schwenzer', 'N. G. Stefanis', 'G. M. von Hippel', 'V. I . Zakharov']",2014-04-14T19:47:02Z,2014-05-18T23:45:16Z,"We highlight the progress, current status, and open challenges of QCD-driven
physics, in theory and in experiment. We discuss how the strong interaction is
intimately connected to a broad sweep of physical problems, in settings ranging
from astrophysics and cosmology to strongly-coupled, complex systems in
particle and condensed-matter physics, as well as to searches for physics
beyond the Standard Model. We also discuss how success in describing the strong
interaction impacts other fields, and, in turn, how such subjects can impact
studies of the strong interaction. In the course of the work we offer a
perspective on the many research streams which flow into and out of QCD, as
well as a vision for future developments.",http://arxiv.org/abs/1404.3723v2,[],[]
